name,year,date,pitch,whip,inning,fati
박정진,2015,07-14,5,0.0,0.1,7.5
박정진,2015,07-15,23,4.0,1.0,92.0
박정진,2015,07-16,11,1.0,0.2,44.0
박정진,2015,07-21,10,0.0,1.0,10.0
박정진,2015,07-22,18,1.0,1.0,72.0
박정진,2015,07-24,14,1.0,1.0,42.0
박정진,2015,07-25,21,3.0,0.2,84.0
박정진,2015,07-28,43,1.0,3.0,86.0
박정진,2015,07-30,39,4.0,1.1,117.0
박정진,2015,08-01,32,2.0,2.0,96.0
박정진,2015,08-02,10,0.0,0.2,40.0
박정진,2015,08-04,22,3.0,2.0,66.0
박정진,2015,08-07,27,4.0,1.2,54.0
박정진,2015,08-08,19,3.0,0.2,76.0
박정진,2015,08-12,23,2.0,1.2,34.5
박정진,2015,08-14,15,2.0,0.2,45.0
박정진,2015,08-15,45,3.0,2.0,180.0
박정진,2015,08-18,21,0.0,1.2,42.0
박정진,2015,08-20,12,3.0,0.0,36.0
박정진,2015,08-26,10,1.0,0.1,10.0
박정진,2015,08-27,15,0.0,1.0,60.0
박정진,2015,09-01,28,1.0,2.0,28.0
박정진,2015,09-08,39,4.0,0.2,39.0
박정진,2015,09-10,16,3.0,0.1,48.0
박정진,2016,04-01,35,2.0,1.2,35.0
박정진,2016,04-05,23,2.0,1.1,34.5
박정진,2016,04-06,21,3.0,0.1,84.0
박정진,2016,04-08,17,1.0,1.0,51.0
박정진,2016,04-12,30,2.0,1.2,45.0
박정진,2016,04-13,21,1.0,1.0,84.0
박정진,2016,04-17,36,1.0,2.0,54.0
박정진,2016,04-19,10,3.0,0.0,30.0
박정진,2016,04-21,13,1.0,1.0,39.0
박정진,2016,04-22,11,2.0,0.2,44.0
박정진,2016,04-28,23,1.0,1.2,23.0
박정진,2016,04-29,29,3.0,2.2,116.0
박정진,2016,04-30,14,1.0,0.2,56.0
박정진,2016,05-03,6,0.0,0.2,12.0
박정진,2016,05-04,8,1.0,1.0,32.0
박정진,2016,05-06,16,3.0,1.1,48.0
박정진,2016,05-07,18,2.0,1.0,72.0
박정진,2016,05-11,6,0.0,0.1,9.0
박정진,2016,05-12,9,1.0,0.2,36.0
박정진,2016,05-14,18,3.0,0.2,54.0
박정진,2016,05-17,17,2.0,0.2,34.0
박정진,2016,05-20,5,0.0,0.1,10.0
박정진,2016,05-21,6,2.0,0.0,24.0
박정진,2016,05-22,17,4.0,0.1,68.0
박정진,2016,05-25,23,3.0,0.2,46.0
박정진,2016,05-26,12,1.0,0.1,48.0
박정진,2016,05-28,13,2.0,0.0,39.0
박정진,2016,06-01,41,2.0,2.1,61.5
박정진,2016,06-03,3,0.0,0.1,9.0
박정진,2016,06-04,24,3.0,0.2,96.0
박정진,2016,06-08,22,0.0,2.0,33.0
박정진,2016,06-09,23,1.0,2.0,92.0
박정진,2016,06-12,13,2.0,0.2,26.0
박정진,2016,06-14,11,2.0,0.0,33.0
박정진,2016,06-19,23,3.0,1.0,23.0
박정진,2016,06-23,43,0.0,3.0,64.5
박정진,2016,06-28,21,2.0,1.0,21.0
박정진,2016,06-29,11,2.0,0.2,44.0
박정진,2016,07-06,4,1.0,0.0,4.0
박정진,2016,07-07,10,0.0,0.2,40.0
박정진,2016,07-09,11,0.0,0.2,33.0
박정진,2016,07-10,28,1.0,2.0,112.0
박정진,2016,07-12,25,2.0,2.0,75.0
박정진,2016,07-14,24,2.0,1.1,72.0
박정진,2016,07-19,18,2.0,1.0,18.0
박정진,2016,07-22,30,4.0,1.0,60.0
박정진,2016,07-23,16,1.0,1.0,64.0
박정진,2016,07-26,18,4.0,0.1,36.0
박정진,2016,07-27,22,1.0,2.0,88.0
박정진,2016,07-30,22,3.0,1.0,44.0
박정진,2016,08-03,50,3.0,3.0,75.0
박정진,2016,08-05,37,4.0,1.0,111.0
박정진,2016,08-12,14,0.0,1.1,14.0
박정진,2016,08-13,24,3.0,0.2,96.0
박정진,2016,08-17,4,0.0,0.1,6.0
박정진,2016,08-18,29,1.0,2.1,116.0
박정진,2016,08-19,12,1.0,0.1,48.0
박정진,2016,08-20,6,0.0,0.2,24.0
박정진,2016,08-24,14,1.0,0.1,21.0
박정진,2016,08-26,36,0.0,2.2,108.0
박정진,2016,08-28,8,0.0,0.2,24.0
박정진,2016,09-01,27,2.0,1.2,40.5
박정진,2016,09-03,12,1.0,0.1,36.0
박정진,2016,09-04,12,2.0,0.1,48.0
박정진,2016,09-06,21,1.0,2.0,63.0
박정진,2016,09-07,26,1.0,1.2,104.0
박정진,2016,09-08,4,1.0,0.1,16.0
박정진,2016,09-11,8,1.0,0.0,16.0
박정진,2016,09-13,22,1.0,1.0,66.0
박정진,2016,09-14,60,7.0,3.0,240.0
박정진,2016,09-16,22,3.0,1.0,66.0
박정진,2016,09-18,11,0.0,1.0,33.0
박정진,2016,09-19,29,1.0,2.0,116.0
박정진,2016,09-24,40,4.0,1.1,40.0
박정진,2016,09-27,17,1.0,0.2,34.0
박정진,2016,09-30,39,1.0,2.1,78.0
박정진,2016,10-08,47,4.0,1.2,47.0
윤길현,2014,04-01,18,1.0,1.0,18.0
윤길현,2014,04-02,13,2.0,0.1,52.0
윤길현,2014,04-05,12,0.0,1.0,24.0
윤길현,2014,04-09,17,2.0,1.0,25.5
윤길현,2014,04-11,21,1.0,1.1,63.0
윤길현,2014,04-19,26,0.0,2.0,26.0
윤길현,2014,04-22,33,2.0,0.2,66.0
윤길현,2014,04-24,22,3.0,0.1,66.0
윤길현,2014,04-30,13,0.0,1.0,13.0
윤길현,2014,05-03,26,3.0,1.0,52.0
윤길현,2014,05-05,9,0.0,0.2,27.0
윤길현,2014,05-06,4,1.0,0.0,16.0
윤길현,2014,05-07,8,1.0,0.2,32.0
윤길현,2014,05-15,19,3.0,1.0,19.0
윤길현,2014,05-16,27,1.0,1.1,108.0
윤길현,2014,05-17,13,3.0,0.1,52.0
윤길현,2014,05-18,11,0.0,1.0,44.0
윤길현,2014,05-21,21,2.0,1.0,42.0
윤길현,2014,05-23,9,0.0,1.0,27.0
윤길현,2014,05-25,9,1.0,0.2,27.0
윤길현,2014,05-29,31,2.0,1.2,46.5
윤길현,2014,06-04,4,1.0,0.0,4.0
윤길현,2014,06-05,18,2.0,1.1,72.0
윤길현,2014,06-08,23,1.0,1.0,46.0
윤길현,2014,06-13,24,4.0,0.2,24.0
윤길현,2014,06-18,11,0.0,1.0,11.0
윤길현,2014,06-20,24,3.0,1.1,72.0
윤길현,2014,06-21,16,1.0,1.1,64.0
윤길현,2014,06-25,17,1.0,2.0,25.5
윤길현,2014,06-27,24,1.0,1.1,72.0
윤길현,2014,06-28,17,0.0,1.0,68.0
윤길현,2014,07-01,24,1.0,1.1,48.0
윤길현,2014,07-03,18,2.0,0.1,54.0
윤길현,2014,07-05,17,0.0,2.0,51.0
윤길현,2014,07-08,14,2.0,0.0,28.0
윤길현,2014,07-12,4,0.0,0.1,6.0
윤길현,2014,07-13,15,0.0,1.0,60.0
윤길현,2014,07-24,22,1.0,1.2,22.0
윤길현,2014,07-26,20,0.0,2.0,60.0
윤길현,2014,07-28,20,1.0,1.0,60.0
윤길현,2014,08-02,11,0.0,1.0,11.0
윤길현,2014,08-07,25,2.0,1.0,25.0
윤길현,2014,08-08,23,2.0,1.0,92.0
윤길현,2014,08-09,11,1.0,0.2,44.0
윤길현,2014,08-12,15,1.0,0.2,30.0
윤길현,2014,08-14,18,0.0,1.0,54.0
윤길현,2014,08-15,28,3.0,1.2,112.0
윤길현,2014,08-20,18,0.0,1.0,18.0
윤길현,2014,08-24,13,2.0,1.0,19.5
윤길현,2014,08-28,35,2.0,1.0,52.5
윤길현,2014,08-31,12,1.0,1.0,24.0
윤길현,2014,09-07,13,1.0,1.0,13.0
