#,name,team,PA,BA,BS,ISO,SPD,wSB,WAR,year
183,정범모,한화,4,0,0,0,13.62,-0.53,-0.34,2016
266,정상호,LG,159,0.182,0.44,0.06,1.63,-0.77,-0.35,2016
150,정성곤(타),kt,1,0,0,0,7.47,-0.44,-0.35,2016
65,정성훈,LG,418,0.322,0.56,0.113,1.81,0.02,-0.35,2016
270,정수빈,두산,305,0.242,0.52,0.063,1.81,0.01,-0.36,2016
51,정의윤,SK,616,0.311,0.33,0.199,0.4,0.08,-0.37,2016
282,정주현,LG,257,0.222,0.42,0.076,5.15,0.05,-0.37,2016
172,정주후,kt,3,0,0,0,-2.19,0.05,-0.37,2016
145,정진철,두산,1,0,,0,5.73,0.69,-0.38,2016
108,정진호,두산,32,0.375,6,0.083,11.49,0.1,-0.38,2016
220,정현석,한화,8,0,0,0,5.4,0.75,-0.39,2016
105,정훈,롯데,439,0.262,0.57,0.076,14.03,-1.25,-0.4,2016
69,조동찬,삼성,282,0.275,0.41,0.174,4.04,0.05,-0.4,2016
271,조동화,SK,172,0.238,0.88,0.035,,-0.54,-0.4,2016
137,조성모,SK,2,0.5,0,0,5.21,0.31,-0.42,2016
239,조수행,두산,29,0.276,0,0,6.65,-1.01,-0.43,2016
62,조영훈,NC,207,0.335,0.49,0.162,1.94,0.21,-0.44,2016
129,조윤준,LG,1,1,,0,4.81,0.11,-0.45,2016
287,조인성,한화,146,0.168,0.05,0.08,3.31,0.08,-0.45,2016
162,조평호,NC,7,0.167,1,0,2.5,0.19,-0.46,2016
166,주현상,한화,8,0.25,0,0,5.27,0.83,-0.47,2016
177,주효상,넥센,19,0.222,0.11,0.056,4.12,-0.14,-0.48,2016
288,지석훈,NC,394,0.219,0.24,0.117,1.88,0.42,-0.49,2016
290,지성준,한화,0,,,,3.9,0.17,-0.49,2016
123,지재옥,넥센,17,0.231,0.43,0.231,-0.73,0.23,-0.5,2016
263,차일목,한화,329,0.228,0.53,0.062,7.31,0.06,-0.5,2016
58,채은성,LG,451,0.313,0.41,0.131,5.68,0.39,-0.5,2016
250,채태인,넥센,417,0.286,0.39,0.111,3.84,-1.29,-0.51,2016
246,최경철,LG,52,0.156,0.25,0.044,3.23,0.15,-0.55,2016
202,최병연,KIA,9,0,0.5,0,6.21,0.1,-0.56,2016
264,최선호,삼성,27,0.115,0.09,0.039,4.16,-0.33,-0.56,2016
60,최승준,SK,231,0.266,0.42,0.312,6.35,-0.61,-0.58,2016
157,최용제,두산,11,0.222,0.5,0,9.78,-0.74,-0.58,2016
106,최원준,KIA,25,0.458,0,0.167,12.37,-1.27,-0.6,2016
219,최윤석,한화,17,0.125,0.25,0,0.03,0.18,-0.61,2016
61,최재원,삼성,105,0.333,1,0.186,1.72,0.69,-0.61,2016
180,최재훈,두산,22,0.167,1,0.055,18.31,-0.9,-0.63,2016
4,최정,SK,606,0.288,0.61,0.292,3.71,0.27,-0.64,2016
98,최정민,SK,177,0.329,0.17,0.039,2.72,-0.23,-0.7,2016
152,최정용,SK,61,0.296,0.19,0.056,7.78,-0.74,-0.71,2016
178,최주환,두산,182,0.281,0.63,0.107,13.1,-0.63,-0.73,2016
59,최준석,롯데,396,0.262,0.63,0.206,2.77,-0.34,-0.74,2016
90,최진행*,한화,85,0.329,0.69,0.071,6.45,0.37,-0.76,2016
1,최형우,삼성,618,0.376,1,0.277,5.7,0.23,-0.77,2016
3,테임즈,NC,529,0.321,0.72,0.358,3.87,-0.48,-0.78,2016
102,하주석,한화,441,0.279,0.16,0.131,1.68,0.11,-0.8,2016
277,하준호,kt,217,0.219,0.32,0.075,4.46,-0.14,-0.96,2016
153,한동민,SK,20,0.278,0.2,0,5.39,0.16,-0.97,2016
226,한승택,KIA,30,0.179,0.12,0,7.33,2.5,-1,2016
57,허경민,두산,609,0.286,0.84,0.099,5.39,0.15,-1,2016
141,허도환,한화,93,0.218,0.29,0.103,6.58,-1.42,-1.01,2016
193,허정협,넥센,20,0.176,0.43,0,1.35,-0.09,-1.03,2016
242,홍성갑,넥센,68,0.226,0.06,0.032,2.03,0.76,-1.11,2016
218,홍성흔,두산,45,0.25,0.56,0.05,3.59,-1.02,-1.18,2016
215,홍재호,KIA,16,0.077,0.67,0,5.37,-1.42,-1.25,2016
169,홍창기,LG,5,0,,0,2.69,0.01,-1.35,2016
119,황대인,KIA,7,0.429,0,0.714,1.81,-0.04,-1.42,2016
260,황목치승,LG,39,0.179,0,0.077,7.28,-0.74,-1.43,2016
133,황선도,삼성,4,0.333,1,0,3.17,0.56,-1.66,2016
221,황윤호,NC,12,0.083,0,0,2.65,0.17,-1.67,2016
9,황재균,롯데,559,0.335,0.74,0.235,2.14,-0.4,-1.7,2016
241,황진수,롯데,10,0,0,0,,0,,2016
26,히메네스,LG,579,0.308,0.58,0.218,,0,,2016

